game_date,tipoff_time_utc,away_team,home_team,away_score,home_score,home_win,point_diff,source_url
2025-10-21,2025-10-21 23:30:00+00:00,Houston Rockets,Oklahoma City Thunder,124,125,1,1,https://www.basketball-reference.com/leagues/NBA_2026_games-october.html
2025-10-21,2025-10-22 02:00:00+00:00,Golden State Warriors,Los Angeles Lakers,119,109,0,-10,https://www.basketball-reference.com/leagues/NBA_2026_games-october.html
2025-10-22,2025-10-23 02:00:00+00:00,Sacramento Kings,Phoenix Suns,116,120,1,4,https://www.basketball-reference.com/leagues/NBA_2026_games-october.html
2025-10-22,2025-10-23 02:00:00+00:00,Minnesota Timberwolves,Portland Trail Blazers,118,114,0,-4,https://www.basketball-reference.com/leagues/NBA_2026_games-october.html
2025-10-22,2025-10-23 01:30:00+00:00,San Antonio Spurs,Dallas Mavericks,125,92,0,-33,https://www.basketball-reference.com/leagues/NBA_2026_games-october.html
2025-10-22,2025-10-23 00:00:00+00:00,Washington Wizards,Milwaukee Bucks,120,133,1,13,https://www.basketball-reference.com/leagues/NBA_2026_games-october.html
2025-10-22,2025-10-23 00:00:00+00:00,New Orleans Pelicans,Memphis Grizzlies,122,128,1,6,https://www.basketball-reference.com/leagues/NBA_2026_games-october.html
2025-10-22,2025-10-23 01:00:00+00:00,Los Angeles Clippers,Utah Jazz,108,129,1,21,https://www.basketball-reference.com/leagues/NBA_2026_games-october.html
2025-10-22,2025-10-22 23:30:00+00:00,Toronto Raptors,Atlanta Hawks,138,118,0,-20,https://www.basketball-reference.com/leagues/NBA_2026_games-october.html
2025-10-22,2025-10-22 23:30:00+00:00,Philadelphia 76ers,Boston Celtics,117,116,0,-1,https://www.basketball-reference.com/leagues/NBA_2026_games-october.html
2025-10-22,2025-10-22 23:00:00+00:00,Miami Heat,Orlando Magic,121,125,1,4,https://www.basketball-reference.com/leagues/NBA_2026_games-october.html
2025-10-22,2025-10-22 23:00:00+00:00,Cleveland Cavaliers,New York Knicks,111,119,1,8,https://www.basketball-reference.com/leagues/NBA_2026_games-october.html
