game_date,tipoff_time_utc,away_team,home_team,away_score,home_score,home_win,point_diff,source_url,ticker,event_ticker,yes_team,game_time_utc,open_time,settlement_value,total_volume,api_source,kalshi_event_date,schedule_row,quote_status,kalshi_prob,yes_bid,yes_ask,last_trade,bid_ask_spread,price_source,quote_time_utc,minutes_before_tip,pregame_volume,candlestick_count,request_url,market_home_win,settlement_agrees,game_id
2025-10-21,2025-10-21 23:30:00+00:00,Houston Rockets,Oklahoma City Thunder,124,125,1,1,https://www.basketball-reference.com/leagues/NBA_2026_games-october.html,KXNBAGAME-25OCT21HOUOKC-OKC,KXNBAGAME-25OCT21HOUOKC,Oklahoma City Thunder,2025-10-22 02:30:00+00:00,2025-10-19 22:41:00+00:00,1.0,10654946.0,historical,2025-10-21,0,missing,,,,,,,,,,,,1,True,2025-10-21_Houston_Rockets_at_Oklahoma_City_Thunder
2025-10-22,2025-10-23 02:00:00+00:00,Sacramento Kings,Phoenix Suns,116,120,1,4,https://www.basketball-reference.com/leagues/NBA_2026_games-october.html,KXNBAGAME-25OCT22SACPHX-PHX,KXNBAGAME-25OCT22SACPHX,Phoenix Suns,2025-10-23 05:00:00+00:00,2025-10-19 22:41:00+00:00,1.0,3069276.0,historical,2025-10-23,2,available,0.605,0.6,0.61,0.61,0.010000000000000009,bid_ask_midpoint,2025-10-23T01:45:00+00:00,15.0,168711.0,988.0,https://api.elections.kalshi.com/trade-api/v2/historical/markets/KXNBAGAME-25OCT22SACPHX-PHX/candlesticks?start_ts=1761097500&end_ts=1761183900&period_interval=1,1,True,2025-10-22_Sacramento_Kings_at_Phoenix_Suns
2025-10-22,2025-10-23 02:00:00+00:00,Minnesota Timberwolves,Portland Trail Blazers,118,114,0,-4,https://www.basketball-reference.com/leagues/NBA_2026_games-october.html,KXNBAGAME-25OCT22MINPOR-POR,KXNBAGAME-25OCT22MINPOR,Portland Trail Blazers,2025-10-23 05:00:00+00:00,2025-10-19 22:41:00+00:00,0.0,2704939.0,historical,2025-10-23,3,missing,,,,,,,,,,,,0,True,2025-10-22_Minnesota_Timberwolves_at_Portland_Trail_Blazers
2025-10-22,2025-10-23 01:30:00+00:00,San Antonio Spurs,Dallas Mavericks,125,92,0,-33,https://www.basketball-reference.com/leagues/NBA_2026_games-october.html,KXNBAGAME-25OCT22SASDAL-DAL,KXNBAGAME-25OCT22SASDAL,Dallas Mavericks,2025-10-23 04:30:00+00:00,2025-10-19 22:41:00+00:00,0.0,4272826.0,historical,2025-10-23,4,available,0.605,0.6,0.61,0.61,0.010000000000000009,bid_ask_midpoint,2025-10-23T01:15:00+00:00,15.0,500214.0,1099.0,https://api.elections.kalshi.com/trade-api/v2/historical/markets/KXNBAGAME-25OCT22SASDAL-DAL/candlesticks?start_ts=1761095700&end_ts=1761182100&period_interval=1,0,True,2025-10-22_San_Antonio_Spurs_at_Dallas_Mavericks
2025-10-22,2025-10-23 00:00:00+00:00,Washington Wizards,Milwaukee Bucks,120,133,1,13,https://www.basketball-reference.com/leagues/NBA_2026_games-october.html,KXNBAGAME-25OCT22WASMIL-MIL,KXNBAGAME-25OCT22WASMIL,Milwaukee Bucks,2025-10-23 03:00:00+00:00,2025-10-19 22:41:00+00:00,1.0,756094.0,historical,2025-10-22,5,available,0.795,0.79,0.8,0.8,0.010000000000000009,bid_ask_midpoint,2025-10-22T23:45:00+00:00,15.0,368274.0,1124.0,https://api.elections.kalshi.com/trade-api/v2/historical/markets/KXNBAGAME-25OCT22WASMIL-MIL/candlesticks?start_ts=1761090300&end_ts=1761176700&period_interval=1,1,True,2025-10-22_Washington_Wizards_at_Milwaukee_Bucks
2025-10-22,2025-10-23 00:00:00+00:00,New Orleans Pelicans,Memphis Grizzlies,122,128,1,6,https://www.basketball-reference.com/leagues/NBA_2026_games-october.html,KXNBAGAME-25OCT22NOPMEM-MEM,KXNBAGAME-25OCT22NOPMEM,Memphis Grizzlies,2025-10-23 03:00:00+00:00,2025-10-19 22:41:00+00:00,1.0,1636132.0,historical,2025-10-22,6,available,0.615,0.61,0.62,0.62,0.010000000000000009,bid_ask_midpoint,2025-10-22T23:45:00+00:00,15.0,118804.0,830.0,https://api.elections.kalshi.com/trade-api/v2/historical/markets/KXNBAGAME-25OCT22NOPMEM-MEM/candlesticks?start_ts=1761090300&end_ts=1761176700&period_interval=1,1,True,2025-10-22_New_Orleans_Pelicans_at_Memphis_Grizzlies
2025-10-22,2025-10-22 23:30:00+00:00,Toronto Raptors,Atlanta Hawks,138,118,0,-20,https://www.basketball-reference.com/leagues/NBA_2026_games-october.html,KXNBAGAME-25OCT22TORATL-ATL,KXNBAGAME-25OCT22TORATL,Atlanta Hawks,2025-10-23 02:30:00+00:00,2025-10-19 22:41:00+00:00,0.0,963636.0,historical,2025-10-22,8,missing,,,,,,,,,,,,0,True,2025-10-22_Toronto_Raptors_at_Atlanta_Hawks
2025-10-22,2025-10-22 23:30:00+00:00,Philadelphia 76ers,Boston Celtics,117,116,0,-1,https://www.basketball-reference.com/leagues/NBA_2026_games-october.html,KXNBAGAME-25OCT22PHIBOS-BOS,KXNBAGAME-25OCT22PHIBOS,Boston Celtics,2025-10-23 02:30:00+00:00,2025-10-19 22:41:00+00:00,0.0,2520808.0,historical,2025-10-22,9,available,0.635,0.63,0.64,0.64,0.010000000000000009,bid_ask_midpoint,2025-10-22T23:15:00+00:00,15.0,429053.0,1144.0,https://api.elections.kalshi.com/trade-api/v2/historical/markets/KXNBAGAME-25OCT22PHIBOS-BOS/candlesticks?start_ts=1761088500&end_ts=1761174900&period_interval=1,0,True,2025-10-22_Philadelphia_76ers_at_Boston_Celtics
2025-10-22,2025-10-22 23:00:00+00:00,Miami Heat,Orlando Magic,121,125,1,4,https://www.basketball-reference.com/leagues/NBA_2026_games-october.html,KXNBAGAME-25OCT22MIAORL-ORL,KXNBAGAME-25OCT22MIAORL,Orlando Magic,2025-10-23 02:00:00+00:00,2025-10-19 22:41:00+00:00,1.0,1842075.0,historical,2025-10-22,10,available,0.755,0.75,0.76,0.76,0.010000000000000009,bid_ask_midpoint,2025-10-22T22:45:00+00:00,15.0,379409.0,1175.0,https://api.elections.kalshi.com/trade-api/v2/historical/markets/KXNBAGAME-25OCT22MIAORL-ORL/candlesticks?start_ts=1761086700&end_ts=1761173100&period_interval=1,1,True,2025-10-22_Miami_Heat_at_Orlando_Magic
2025-10-22,2025-10-22 23:00:00+00:00,Cleveland Cavaliers,New York Knicks,111,119,1,8,https://www.basketball-reference.com/leagues/NBA_2026_games-october.html,KXNBAGAME-25OCT22CLENYK-NYK,KXNBAGAME-25OCT22CLENYK,New York Knicks,2025-10-23 02:00:00+00:00,2025-10-19 22:41:00+00:00,1.0,4635331.0,historical,2025-10-22,11,available,0.46499999999999997,0.46,0.47,0.47,0.009999999999999953,bid_ask_midpoint,2025-10-22T22:45:00+00:00,15.0,959461.0,1172.0,https://api.elections.kalshi.com/trade-api/v2/historical/markets/KXNBAGAME-25OCT22CLENYK-NYK/candlesticks?start_ts=1761086700&end_ts=1761173100&period_interval=1,1,True,2025-10-22_Cleveland_Cavaliers_at_New_York_Knicks
